predictor,n_models,n_good,pool_best_rmsd,best_top1,rand_top1_mean,best_top1_p,best_top5,rand_top5_mean,best_top5_p,best_top10,rand_top10_mean,best_top10_p,auprc,auprc_ci95,auprc_p,random_auprc,EF_top10pct
naive (vs expt),203,11,4.6,12.01,16.31,0.103,12.01,11.35,0.4135,10.68,9.3,0.5575,0.072,"[0.038, 0.216]",0.093,0.054,0.92
SGNM (vs expt),212,11,4.6,17.5,16.35,0.664,8.74,11.54,0.274,5.15,9.28,0.187,0.141,"[0.045, 0.329]",0.054,0.052,2.75
ERM (vs expt),212,11,4.6,12.82,16.49,0.132,8.74,11.36,0.291,8.74,9.32,0.4825,0.061,"[0.031, 0.099]",0.559,0.052,0.0
naive (vs ref),203,11,4.6,17.46,16.32,0.676,5.32,11.35,0.1595,5.15,9.23,0.184,0.193,"[0.078, 0.410]",0.005,0.054,2.77
SGNM (vs ref),212,11,4.6,14.8,16.35,0.285,4.69,11.7,0.0485,4.69,9.36,0.087,0.097,"[0.036, 0.250]",0.1755,0.052,1.84
ERM (vs ref),212,11,4.6,5.15,16.41,0.02,5.15,11.56,0.0995,5.15,9.28,0.187,0.192,"[0.032, 0.458]",0.0075,0.052,2.75
